Timestamp,Source_IP,Destination_IP,Attack_Type,Protocol,Packet_Size,Failed_Logins,Country,Response_Time,Threat_Level
4/16/26 0:09,192.0.2.39,10.0.1.22,SQL Injection,HTTPS,1001,3,India,272,Medium
4/16/26 0:11,198.51.100.237,10.1.0.10,DDoS,UDP,768,1,Japan,880,High
4/16/26 2:24,192.0.2.15,10.0.0.20,Brute Force,TCP,334,6,India,437,Medium
4/16/26 6:42,198.51.100.246,10.0.1.4,Phishing,HTTPS,342,2,Japan,283,Low
4/16/26 7:10,192.0.2.15,172.16.0.5,Brute Force,HTTPS,145,9,India,467,Medium
4/16/26 7:11,198.51.100.215,10.1.0.10,Brute Force,TCP,443,15,Japan,691,High
4/16/26 7:57,192.0.2.8,10.0.0.20,Phishing,HTTPS,319,0,India,250,Low
4/16/26 8:03,192.0.2.3,10.0.0.5,Brute Force,TCP,413,4,India,358,Medium
4/16/26 8:36,198.51.100.83,10.0.0.5,Brute Force,TCP,334,13,USA,285,High
4/16/26 8:47,192.0.2.24,172.16.0.5,Brute Force,HTTPS,518,14,India,567,High
4/16/26 8:53,198.51.100.242,10.1.0.10,SQL Injection,HTTPS,799,2,Japan,208,Low
4/16/26 9:23,198.51.100.84,172.16.0.5,DDoS,UDP,1500,1,USA,934,Critical
4/16/26 9:27,192.0.2.170,10.0.1.7,Phishing,HTTPS,509,0,Germany,335,Low
4/16/26 9:43,192.0.2.164,10.0.1.18,Malware,TCP,512,5,Germany,450,Medium
4/16/26 10:26,192.0.2.37,10.0.0.8,Malware,HTTP,464,4,India,620,Medium
4/16/26 10:35,192.0.2.33,10.0.1.7,Brute Force,HTTPS,312,9,India,420,Medium
4/16/26 11:40,192.0.2.8,192.168.2.6,Brute Force,HTTP,319,7,India,502,Medium
4/16/26 11:56,192.0.2.193,192.168.1.5,Malware,TCP,769,1,Germany,530,Medium
4/16/26 12:02,192.0.2.8,10.0.1.7,Phishing,HTTPS,160,0,India,306,Low
4/16/26 12:02,192.0.2.20,10.0.1.11,Malware,HTTPS,387,0,India,301,Low
4/16/26 12:21,192.0.2.33,10.0.0.20,SQL Injection,HTTP,430,1,India,70,Medium
4/16/26 12:53,192.0.2.24,10.0.0.12,Malware,TCP,850,2,India,330,Medium
4/16/26 12:58,198.51.100.239,10.0.1.11,Brute Force,HTTP,349,7,Japan,627,Medium
4/16/26 13:06,198.51.100.92,10.0.0.12,SQL Injection,HTTP,505,2,USA,491,Medium
4/16/26 13:37,198.51.100.216,10.0.0.15,Malware,UDP,495,4,Japan,407,Medium
4/16/26 14:25,198.51.100.87,10.0.0.12,SQL Injection,HTTP,406,0,USA,477,Medium
4/16/26 15:34,192.0.2.33,172.16.1.15,Malware,TCP,900,4,India,369,Medium
4/16/26 15:40,198.51.100.70,172.16.0.5,Phishing,HTTPS,436,0,USA,40,Low
4/16/26 15:50,203.0.113.138,10.0.0.20,Brute Force,HTTPS,190,10,UK,557,Medium
4/16/26 15:50,192.0.2.41,10.1.0.25,Malware,HTTPS,1412,7,India,522,High
4/16/26 16:11,192.0.2.24,10.0.1.4,Brute Force,HTTP,162,11,India,373,High
4/16/26 16:12,192.0.2.153,10.0.0.15,SQL Injection,HTTPS,658,3,Germany,503,Medium
4/16/26 16:33,203.0.113.132,10.0.0.8,DDoS,HTTP,959,1,UK,1048,High
4/16/26 16:58,198.51.100.70,10.0.0.5,Brute Force,HTTP,348,10,USA,455,Medium
4/16/26 17:20,203.0.113.125,172.16.0.8,Brute Force,TCP,512,15,UK,611,High
4/16/26 17:31,198.51.100.97,10.0.1.7,Brute Force,TCP,171,16,USA,583,High
4/16/26 18:02,192.0.2.190,172.16.1.15,Phishing,HTTPS,229,2,Germany,237,Low
4/16/26 18:15,198.51.100.92,10.0.0.5,SQL Injection,HTTP,649,1,USA,117,Medium
4/16/26 18:23,198.51.100.92,10.0.0.12,Phishing,HTTPS,679,2,USA,227,Low
4/16/26 19:47,203.0.113.120,10.0.0.5,DDoS,UDP,1500,0,UK,1049,Critical
4/16/26 20:00,192.0.2.40,10.0.0.12,Malware,HTTP,1203,5,India,546,High
4/16/26 20:42,192.0.2.8,10.0.0.5,Brute Force,HTTP,127,11,India,706,Medium
4/16/26 20:51,192.0.2.34,172.16.0.5,SQL Injection,HTTPS,460,1,India,384,Medium
4/16/26 20:58,198.51.100.67,10.0.1.4,Brute Force,TCP,362,9,USA,541,Medium
4/16/26 21:06,198.51.100.202,10.0.0.8,Malware,TCP,721,1,Japan,665,Medium
4/16/26 21:48,203.0.113.102,10.0.0.20,DDoS,HTTP,954,0,UK,159,Medium
4/16/26 22:48,198.51.100.88,10.0.1.7,Malware,UDP,660,0,USA,231,Medium
4/17/26 0:45,198.51.100.216,10.0.0.12,Brute Force,TCP,185,10,Japan,485,Medium
4/17/26 2:37,192.0.2.40,10.0.0.20,Brute Force,TCP,867,16,India,570,High
4/17/26 3:14,192.0.2.15,192.168.2.6,Brute Force,HTTPS,322,8,India,534,Medium
4/17/26 4:47,198.51.100.217,10.0.0.12,Malware,TCP,1500,7,Japan,530,High
4/17/26 5:04,192.0.2.8,10.0.1.18,Malware,HTTP,787,3,India,517,Medium
4/17/26 5:20,192.0.2.177,172.16.0.8,Brute Force,TCP,303,8,Germany,389,Medium
4/17/26 7:16,192.0.2.33,192.168.2.20,DDoS,UDP,1500,1,India,1046,High
4/17/26 7:34,192.0.2.26,10.0.0.8,DDoS,UDP,1224,0,India,803,Medium
4/17/26 8:34,198.51.100.92,10.1.0.14,Brute Force,TCP,221,10,USA,591,Medium
4/17/26 8:40,192.0.2.3,192.168.2.20,Phishing,HTTPS,374,1,India,217,Low
4/17/26 8:42,198.51.100.239,172.16.0.5,DDoS,TCP,1214,2,Japan,153,Medium
4/17/26 8:50,203.0.113.113,10.0.1.18,Malware,UDP,948,4,UK,323,Medium
4/17/26 9:01,192.0.2.155,172.16.1.9,Brute Force,TCP,295,7,Germany,528,Medium
4/17/26 9:06,203.0.113.126,10.0.0.20,Brute Force,HTTP,247,3,UK,410,Medium
4/17/26 9:20,198.51.100.242,10.0.0.12,SQL Injection,HTTPS,456,4,Japan,377,Medium
4/17/26 9:33,198.51.100.85,10.0.0.5,Brute Force,HTTPS,344,12,USA,542,High
4/17/26 9:58,192.0.2.173,10.0.0.20,Brute Force,TCP,340,12,Germany,457,High
4/17/26 10:03,192.0.2.3,10.0.0.12,Brute Force,TCP,212,10,India,481,Medium
4/17/26 10:15,203.0.113.110,172.16.0.8,Malware,TCP,1129,2,UK,612,High
4/17/26 10:37,198.51.100.67,192.168.1.5,Brute Force,TCP,152,5,USA,451,Low
4/17/26 10:57,203.0.113.102,10.1.0.10,Brute Force,HTTPS,83,7,UK,235,Low
4/17/26 11:23,198.51.100.239,10.0.0.5,Brute Force,TCP,128,4,Japan,308,Medium
4/17/26 11:27,198.51.100.224,10.0.0.12,SQL Injection,HTTPS,546,0,Japan,284,Medium
4/17/26 13:01,198.51.100.92,10.0.1.7,Brute Force,TCP,201,17,USA,528,High
4/17/26 13:04,192.0.2.30,10.0.0.12,Malware,HTTP,383,2,India,487,Medium
4/17/26 13:05,192.0.2.155,192.168.1.25,SQL Injection,HTTPS,288,2,Germany,548,Medium
4/17/26 13:13,192.0.2.27,10.0.0.8,Malware,TCP,567,4,India,142,Medium
4/17/26 13:22,198.51.100.67,10.0.0.20,Brute Force,HTTPS,271,6,USA,228,Medium
4/17/26 13:48,192.0.2.183,10.0.1.22,Brute Force,TCP,241,4,Germany,467,Medium
4/17/26 14:06,198.51.100.94,192.168.1.5,Brute Force,TCP,135,2,USA,258,Medium
4/17/26 14:16,203.0.113.102,10.0.1.4,Brute Force,HTTP,201,1,UK,362,Medium
4/17/26 14:20,192.0.2.164,10.1.0.10,DDoS,UDP,1316,3,Germany,691,High
4/17/26 14:54,192.0.2.46,10.0.1.11,Malware,HTTP,627,1,India,506,Medium
4/17/26 15:14,198.51.100.83,10.1.0.14,Malware,UDP,1060,3,USA,521,Medium
4/17/26 15:29,192.0.2.164,10.0.1.18,Malware,HTTP,587,7,Germany,534,Medium
4/17/26 16:13,192.0.2.37,10.0.0.5,SQL Injection,HTTPS,535,4,India,218,Medium
4/17/26 16:18,198.51.100.68,10.1.0.10,Phishing,HTTPS,278,2,USA,247,Low
4/17/26 16:44,192.0.2.195,10.0.0.5,Phishing,HTTPS,252,1,Germany,209,Low
4/17/26 16:46,192.0.2.14,10.0.1.11,Brute Force,HTTPS,201,3,India,537,Medium
4/17/26 16:55,192.0.2.46,10.1.0.10,Brute Force,TCP,382,2,India,724,Medium
4/17/26 17:22,192.0.2.176,192.168.1.5,SQL Injection,HTTPS,350,5,Germany,575,Medium
4/17/26 17:27,192.0.2.156,10.0.0.5,SQL Injection,HTTPS,568,3,Germany,355,Medium
4/17/26 17:40,198.51.100.83,172.16.1.4,Brute Force,HTTPS,196,13,USA,520,High
4/17/26 17:53,203.0.113.132,10.0.0.12,Malware,HTTPS,626,0,UK,573,Medium
4/17/26 17:54,198.51.100.96,172.16.1.15,Malware,TCP,713,2,USA,422,Medium
4/17/26 18:00,198.51.100.202,10.1.0.14,Brute Force,TCP,499,13,Japan,380,High
4/17/26 18:26,198.51.100.78,10.0.0.5,SQL Injection,HTTP,487,3,USA,455,Medium
4/17/26 18:43,192.0.2.163,172.16.0.5,Phishing,HTTPS,581,0,Germany,223,Low
4/17/26 19:28,198.51.100.208,172.16.0.5,Malware,HTTPS,760,2,Japan,361,Medium
4/17/26 19:29,203.0.113.105,10.1.0.21,Malware,HTTPS,847,3,UK,524,Medium
4/17/26 20:01,198.51.100.60,172.16.1.9,SQL Injection,HTTP,639,1,USA,655,Medium
4/17/26 20:34,192.0.2.24,10.0.0.5,Malware,HTTPS,489,4,India,257,Medium
4/17/26 20:47,198.51.100.72,10.0.0.15,Brute Force,HTTPS,96,10,USA,509,Medium
4/17/26 22:12,192.0.2.174,10.1.0.14,Phishing,HTTP,535,4,Germany,246,Medium
4/17/26 22:17,192.0.2.177,10.0.1.4,SQL Injection,HTTPS,412,2,Germany,279,Medium
4/17/26 22:28,192.0.2.191,10.0.0.12,Brute Force,TCP,283,2,Germany,385,Medium
4/17/26 23:31,203.0.113.138,10.0.1.22,SQL Injection,HTTPS,471,2,UK,558,Medium
4/18/26 0:35,198.51.100.83,192.168.1.10,Phishing,HTTPS,760,0,USA,178,Low
4/18/26 2:30,198.51.100.83,172.16.0.5,Phishing,HTTPS,352,0,USA,165,Low
4/18/26 2:38,192.0.2.15,172.16.0.5,Phishing,HTTPS,801,0,India,370,Low
4/18/26 4:51,198.51.100.55,10.0.0.12,Phishing,HTTPS,309,1,USA,299,Low
4/18/26 5:34,192.0.2.30,10.0.0.5,Brute Force,HTTPS,364,7,India,739,Medium
4/18/26 5:37,198.51.100.67,192.168.2.6,Malware,HTTP,383,4,USA,617,Medium
4/18/26 6:00,198.51.100.204,10.0.0.15,Phishing,HTTPS,694,1,Japan,200,Medium
4/18/26 7:00,192.0.2.153,10.0.0.15,Brute Force,TCP,625,7,Germany,432,Medium
4/18/26 9:08,192.0.2.155,10.0.0.15,Malware,HTTPS,1155,7,Germany,703,High
4/18/26 9:53,192.0.2.44,172.16.0.5,SQL Injection,HTTP,833,4,India,465,Medium
4/18/26 9:55,192.0.2.2,10.0.0.8,Brute Force,TCP,394,18,India,514,High
4/18/26 10:23,198.51.100.72,10.0.0.20,Brute Force,HTTPS,435,12,USA,558,High
